agent_surface,condition,official_runs,ssh_success_runs,agent_exit_success_runs,visual_records_available,visual_records_valid,runs_with_required_artifacts_complete,elapsed_seconds_mean,elapsed_seconds_median,elapsed_seconds_min,elapsed_seconds_max,event_lines_mean,event_lines_median,event_lines_min,event_lines_max,tool_call_signal_count_mean,tool_call_signal_count_median,tool_call_signal_count_min,tool_call_signal_count_max,command_signal_count_mean,command_signal_count_median,command_signal_count_min,command_signal_count_max,file_artifact_mentions_count_mean,file_artifact_mentions_count_median,file_artifact_mentions_count_min,file_artifact_mentions_count_max
Agent Surface A,baseline,15,15,15,15,15,15,1520.07,1563.0,87.0,3228.0,32.73,32.0,29.0,40.0,26.8,26.0,24.0,34.0,11.07,11.0,7.0,16.0,4.93,3.0,1.0,10.0
Agent Surface A,continuity_enabled,15,15,15,15,15,15,4084.4,4225.0,105.0,6788.0,30.93,30.0,26.0,40.0,23.47,24.0,16.0,34.0,13.27,13.0,5.0,23.0,7.33,8.0,1.0,11.0
Agent Surface B,baseline,15,15,15,15,15,15,6788.8,8050.0,80.0,11302.0,47.8,44.0,26.0,65.0,39.73,36.0,20.0,56.0,81.6,76.0,40.0,112.0,8.93,9.0,6.0,10.0
Agent Surface B,continuity_enabled,15,15,15,15,15,15,9575.2,12357.0,81.0,14506.0,47.2,48.0,33.0,58.0,38.67,40.0,26.0,50.0,83.47,86.0,56.0,110.0,10.93,11.0,8.0,14.0
Agent Surface C,baseline,15,15,15,15,15,15,10724.13,15492.0,65.0,17002.0,3058.27,3130.0,2410.0,3519.0,0.0,0.0,0.0,0.0,0.53,0.0,0.0,2.0,2.0,1.0,0.0,11.0
Agent Surface C,continuity_enabled,15,15,15,15,15,15,81.53,80.0,63.0,94.0,3159.93,3117.0,2662.0,3815.0,0.0,0.0,0.0,0.0,0.13,0.0,0.0,1.0,2.0,1.0,0.0,5.0
