task_variant,condition,official_runs,connection_success_runs,agent_exit_success_runs,visual_records_available,visual_records_valid,runs_with_required_artifacts_complete,elapsed_seconds_mean,elapsed_seconds_median,elapsed_seconds_min,elapsed_seconds_max,event_lines_mean,event_lines_median,event_lines_min,event_lines_max,tool_call_signal_count_mean,tool_call_signal_count_median,tool_call_signal_count_min,tool_call_signal_count_max,command_signal_count_mean,command_signal_count_median,command_signal_count_min,command_signal_count_max,file_artifact_mentions_count_mean,file_artifact_mentions_count_median,file_artifact_mentions_count_min,file_artifact_mentions_count_max
task_a,baseline,15,15,15,15,15,15,7321.6,7698.0,80.0,16029.0,1094.4,40.0,32.0,3495.0,19.87,26.0,0.0,36.0,26.0,10.0,0.0,72.0,6.2,9.0,1.0,11.0
task_a,continuity_enabled,15,15,15,15,15,15,4540.93,3672.0,74.0,12357.0,1111.6,42.0,26.0,3815.0,18.8,22.0,0.0,42.0,30.0,13.0,0.0,90.0,6.93,7.0,1.0,11.0
task_b,baseline,15,15,15,15,15,15,8483.47,9550.0,87.0,17002.0,1038.87,54.0,29.0,3226.0,24.67,26.0,0.0,56.0,36.13,11.0,0.0,112.0,5.27,3.0,0.0,10.0
task_b,continuity_enabled,15,15,15,15,15,15,4197.8,111.0,63.0,13306.0,1104.8,48.0,29.0,3751.0,22.27,26.0,0.0,48.0,32.6,13.0,0.0,103.0,6.6,8.0,1.0,12.0
task_c,baseline,15,15,15,15,15,15,3227.93,2555.0,65.0,11302.0,1005.53,49.0,26.0,3519.0,22.0,26.0,0.0,54.0,31.07,11.0,0.0,110.0,4.4,3.0,0.0,10.0
task_c,continuity_enabled,15,15,15,15,15,15,5002.4,5781.0,74.0,14506.0,1021.67,50.0,26.0,3201.0,21.07,20.0,0.0,50.0,34.27,13.0,0.0,110.0,6.73,8.0,0.0,14.0
