condition,official_runs,connection_success_runs,agent_exit_success_runs,visual_records_available,visual_records_valid,runs_with_required_artifacts_complete,elapsed_seconds_mean,elapsed_seconds_median,elapsed_seconds_min,elapsed_seconds_max,event_lines_mean,event_lines_median,event_lines_min,event_lines_max,tool_call_signal_count_mean,tool_call_signal_count_median,tool_call_signal_count_min,tool_call_signal_count_max,command_signal_count_mean,command_signal_count_median,command_signal_count_min,command_signal_count_max,file_artifact_mentions_count_mean,file_artifact_mentions_count_median,file_artifact_mentions_count_min,file_artifact_mentions_count_max
baseline,45,45,45,45,45,45,6344.33,3080.0,65.0,17002.0,1046.27,44.0,26.0,3519.0,22.18,26.0,0.0,56.0,31.07,11.0,0.0,112.0,5.29,4.0,0.0,11.0
continuity_enabled,45,45,45,45,45,45,4580.38,3478.0,63.0,14506.0,1079.36,48.0,26.0,3815.0,20.71,24.0,0.0,50.0,32.29,13.0,0.0,110.0,6.76,8.0,0.0,14.0
